sample_id,dataset_index,audio_duration_seconds,ground_truth,transcription,normalized_reference,normalized_hypothesis,wer,substitutions,deletions,insertions,reference_words,ttfb_seconds
a020da8a-0e80-3e7e-b386-89e12341af75,50,3.553875,The well water is sputtering from the faucet,The well water is spattering from the faucet The well water is spattering from the faucet I'm sorry,the well water is sputtering from the faucet,the well water is spattering from the faucet the well water is spattering from the faucet i am sorry,1.625,1,0,12,8,0.3567769527435303
0c5e8fd6-3c3e-c97e-74c9-a90743d923e8,55,16.0,Can you describe the process for chan geans my legal name on official documents like my driver licenses and social security card after getting married including necessary forms and office,"Kendrick Just First. Great process for Or Chen Jeans My The legal name on official documents Like my driver's licenses and social security Like my driver's licenses and social security You take car up After getting married, including necessary I'm gonna go ahead and say that I'm gonna go ahead and say that I'm gonna go ahead and say that Form Sanofi's",can you describe the process for chan geans my legal name on official documents like my driver licenses and social security card after getting married including necessary forms and office,kendrick just first great process for or chen jeans my the legal name on official documents like my drivers licenses and social security like my drivers licenses and social security you take car up after getting married including necessary i am going to go ahead and say that i am going to go ahead and say that i am going to go ahead and say that form sanofis,1.5517241379310345,9,1,35,29,0.3082287311553955
32705937-195d-2eb0-fe22-856dc8558b23,90,14.977875,"So the thing is that when I logged into my account yesterday, I noticed my user profile picture had been changed to a cartoon cat, which I didn't","There is no sound. There is no sound. There is no sound. There is no sound. There is no sound. There is no sound What's the thing? thing is That when I logged into my account yesterday, I'd noticed my user That when I logged into my account yesterday, I'd noticed my user Her profile picture had been changed to a cartoon cat. which I do It's It's cent The",so the thing is that when i logged into my account yesterday i noticed my user profile picture had been changed to a cartoon cat which i did not,there is no sound there is no sound there is no sound there is no sound there is no sound there is no sound what is the thing thing is that when i logged into my account yesterday i had noticed my user that when i logged into my account yesterday i had noticed my user her profile picture had been changed to a cartoon cat which i do it is it is cent the,1.5172413793103448,1,2,41,29,0.25496888160705566
7f066b80-3a59-0bed-6465-f85935582dc5,70,10.960625,I'm trying to set up parental controls on my home Wi-Fi network to restrict access to certain websites during homework hours for my kids. But the router interface is very,"I'm trying I set up I'm in I'm in Control for my home Bye-bye I'm at district access to Certain websites during home No Yes I'm excited It's What about Oh, uh- Yes. I'm doing Yes. This is three",i am trying to set up parental controls on my home wi fi network to restrict access to certain websites during homework hours for my kids but the router interface is very,i am trying i set up i am in i am in control for my home bye bye i am at district access to certain websites during home no yes i am excited it is what about oh uh yes i am doing yes this is three,1.206896551724138,19,1,15,29,0.3960111141204834
b3882761-3cab-d5b2-30e0-5588aa172d90,14,10.4596875,Can you tell me about the scientific theory of plate tectonics and explain how the movement of those plates is directly responsible for earthquakes,"You It's You're My About the scientific Theory of Please Please They take Tonics and explain how the movement of those Tonics and explain how the movement of those It's, it's directly What's your well for? I Wakes",can you tell me about the scientific theory of plate tectonics and explain how the movement of those plates is directly responsible for earthquakes,you it is you are my about the scientific theory of please please they take tonics and explain how the movement of those tonics and explain how the movement of those it is it is directly what is your well for i wakes,1.1666666666666667,7,0,21,24,0.42911720275878906
9ee9d60f-f794-36f2-cc7b-53bfb396ef1d,19,15.865625,"I need to find a comprehensive guide on how to properly care for a bonsai tree indoors, specifically focusing on watering techniques, soil composition, and seasonal pruning for a ficus species.",I need to The compliance good On how to アプリケーション One thing tree indoors spec It's I feel Of course It's It's On the watering techniques sorry Oil I'm posting And Just This is That Please I lean for Eighth Fick Yes This is,i need to find a comprehensive guide on how to properly care for a bonsai tree indoors specifically focusing on watering techniques soil composition and seasonal pruning for a ficus species,i need to the compliance good on how to application one thing tree indoors spec its i feel of course its its on the watering techniques sorry oil i am posting and just this is that please i lean for eighth fick yes this is,1.15625,12,5,20,32,0.3081221580505371
052ba5bd-48a3-2c25-883d-e2f25a953d7e,94,4.189375,Can you clear my schedule for the morning of the fifth,Can you clear my schedule for the morning of the fifth? Can you clear my schedule for the morning of the fifth? So,can you clear my schedule for the morning of the fifth,can you clear my schedule for the morning of the fifth can you clear my schedule for the morning of the fifth so,1.0909090909090908,0,0,12,11,0.23809504508972168
dfd167bb-59c2-9b9d-4c2a-e9a61c3e714e,71,12.9645,I would like to change my primary care physician and I'm looking for a new doctor within my insurance network who is accepting new patients and has office hours on Saturdays. So maybe,I would like to change my primary care physician. I would like to change my primary care physician. mission There is no And I'm looking for a new doctor within my insurance network. There is no sound Who is accepting new patients and has office hours? on Saturdays. I'm gonna go ahead and say that. I'm gonna go ahead and say that. So maybe.,i would like to change my primary care physician and i am looking for a new doctor within my insurance network who is accepting new patients and has office hours on saturdays so maybe,i would like to change my primary care physician i would like to change my primary care physician mission there is no and i am looking for a new doctor within my insurance network there is no sound who is accepting new patients and has office hours on saturdays i am going to go ahead and say that i am going to go ahead and say that so maybe,1.03125,0,0,33,32,0.2739419937133789
930905b6-467c-3098-c100-7d08467961ea,31,12.6085,Can you provide a detailed step-by-step process for filing a homeowner's insurance claim for water damage caused by a recently burst plumbing pipe?,"Can you Can you I need I understand First, they process for filling a whole On, on Insurance Fame For sure What The damage Cause I recently purchased That's fine Thank you Right.",can you provide a detailed step by step process for filing a homeowners insurance claim for water damage caused by a recently burst plumbing pipe,can you can you i need i understand first they process for filling a whole on on insurance fame for sure what the damage cause i recently purchased that is fine thank you right,1.0,11,4,10,25,0.23054790496826172
6044817a-551d-1807-5640-cfc546485173,72,3.194,she would touch on but anyway this mom is getting sued for like,"She would touch on, but anyway, this mom is getting sued for She would touch on, but anyway, this mom is getting sued for like",she would touch on but anyway this mom is getting sued for like,she would touch on but anyway this mom is getting sued for she would touch on but anyway this mom is getting sued for like,1.0,0,0,13,13,0.38234400749206543
